question,answer
How would you compare Dynamic Arrays Vs Linked Lists?,"Dynamic Array Advantages:
Fast random access (O(1))
Efficient for large data sets
Contiguous memory allocation
Dynamic Array Disadvantages:
Slow insertion and deletion in the middle (O(n))
Fixed size, can lead to memory waste or reallocation
Linked Lists Advantages:
Efficient insertion and deletion in the middle (O(1))
Can grow and shrink dynamically
Can represent complex data structures
Linked Lists Disadvantages:
Slow random access (O(n))
More memory overhead due to pointers
Not cache-friendly
Dynamic arrays are more efficient for random access and large data sets, while linked lists are more efficient for operations that involve insertion and deletion in the middle. Linked lists are also more flexible and can represent complex data structures."
What is a stack?,"A stack is a linear data structure that follows the Last-In-First-Out (LIFO) principle, where the last element added is the first one to be removed. It has two main operations: push, which adds an element to the top of the stack, and pop, which removes the top element from the stack."
What are the operations performed on a stack?,"The common operations on a stack are push (insert an element), pop (remove the top element), and peek (view the top element)."
How is a stack implemented in an array?,A stack can be implemented using an array by maintaining a pointer to the top of the stack.
What is the time complexity of stack operations?,"Push, pop, and peek operations have a time complexity of O(1)."
What are the applications of a stack?,"Stacks are used in various applications, such as function calls, recursion, expression evaluation, and parsing."
What is a stack overflow?,A stack overflow occurs when the stack exceeds its allocated memory.
What is a stack underflow?,A stack underflow occurs when the stack is empty and an attempt is made to pop an element.
What is a postfix expression?,A postfix expression is an expression where the operator follows the operands.
How can a stack be used to evaluate a postfix expression?,By pushing operands onto the stack and performing operations when operators are encountered.
What is a prefix expression?,A prefix expression is an expression where the operator precedes the operands.
How can a stack be used to evaluate a prefix expression?,By pushing operators onto the stack and performing operations when operands are encountered.
How can a stack be used to check if a parenthesis expression is balanced?,"A stack can be used to check if a parenthesis expression is balanced by following these steps:
Push the opening parenthesis onto the stack.
When an closing parenthesis is encountered, pop the top element from the stack and check if it matches the closing parenthesis.
If the stack is empty at the end of the expression, then the expression is balanced.
If the stack is not empty, then the expression is not balanced."
Where are stacks used?,"Expression, evaluation, or conversion of evaluating prefix, postfix, and infix expressions
Syntax parsing
String reversal
Parenthesis checking
Backtracking"
What is a Queue?,"A queue is a linear data structure that follows the First-In-First-Out (FIFO) principle, where elements are added at the rear (enqueue) and removed from the front (dequeue)."
What are the different types of Queues?,"Simple Queue
Circular Queue
Priority Queue
Double-Ended Queue (Deque)"
How is a Queue implemented in an array?,"An array can be used to implement a simple queue by maintaining two pointers: front and rear. Front points to the first element, and rear points to the next available position."
How is a Queue implemented in a linked list?,"A linked list can be used to implement a queue by creating a node for each element and maintaining a head and tail pointer. Enqueueing adds a node to the tail, and dequeueing removes a node from the head."
What is the time complexity of enqueue and dequeue operations in a Queue?,"Enqueue: O(1)
Dequeue: O(1) for simple and circular queues, O(n) for priority queues"
What is the difference between a Queue and a Stack?,"A queue follows FIFO, while a stack follows Last-In-First-Out (LIFO)."
What are the applications of Queues?,"Task scheduling
Message passing
Simulation of real-world scenarios"
How do you handle overflow and underflow conditions in a Queue?,"Overflow: When the queue is full, throw an exception or return an error code.
Underflow: When the queue is empty, throw an exception or return a null value."
What is a circular queue?,A circular queue is a variation of a simple queue where the rear pointer wraps around to the beginning of the array after reaching the end.
What is a priority queue?,A priority queue is a queue where elements are assigned priorities and are dequeued based on their priorities.
How is a priority queue implemented?,Priority queues can be implemented using a binary heap or a self-balancing binary search tree.
What is a double-ended queue (Deque)?,A deque is a queue that allows insertions and deletions from both ends.
How is a deque implemented?,A deque can be implemented using two stacks or a circular buffer.
What are the advantages of using a Queue?,"Simple and efficient FIFO implementation
Easy to enqueue and dequeue elements
Supports multiple producers and consumers"
What are the disadvantages of using a Queue?,"Limited access to elements (only from the front or rear)
Can be inefficient if elements need to be accessed in a non-sequential order"
What is a heap data structure?,A heap is a complete binary tree that satisfies the heap property: each node’s value is greater than or equal to its children’s values.
What are the two types of heaps?,"Max-heap and min-heap. In a max-heap, the root node has the maximum value, while in a min-heap, the root node has the minimum value."
What is the time complexity of inserting an element into a heap?,"O(log n), where n is the number of elements in the heap."
What is the time complexity of deleting an element from a heap?,"O(log n), where n is the number of elements in the heap."
What is the time complexity of finding the minimum or maximum element in a heap?,"O(1), as the root node always contains the minimum or maximum element."
What are the applications of heaps?,"Heap applications: Priority queues,Sorting, Finding the median, Implementing Dijkstra’s algorithm, Network routing, Huffman coding"
What is the difference between a heap and a binary search tree (BST)?,"A heap is a complete binary tree that satisfies the heap property, while a BST is a partially ordered binary tree that satisfies the BST property."
How do you convert a BST into a heap?,By performing an in-order traversal of the BST and inserting the elements into a heap.
How do you merge two heaps?,By creating a new heap and inserting the elements from both heaps into the new heap while maintaining the heap property.
What is the difference between a heap and a priority queue?,"A heap is a data structure, while a priority queue is an abstract data type that can be implemented using a heap."
What are the advantages of using a heap?,"Advantages of using a heap:
Efficient insertion and extraction (O(log n))
Can be used to implement priority queues
Can be used for sorting (O(n log n))
Useful for other applications, such as finding the median and implementing Dijkstra’s algorithm"
What is a hash data structure?,"A hash data structure is a data structure that stores key-value pairs, where the keys are hashed to determine the location of the value in the data structure."
What is a hash table?,"A hash table is a data structure that implements an associative array, allowing fast retrieval of values based on unique keys. It uses a hash function to map keys to indices in an array, providing constant-time average access (O(1)) if collisions are minimized."
What is a hash function?,A hash function is a function that takes an input of any size and produces an output of a fixed size. The output is called a hash value or hash code.
Explain how a hash function works.,"A hash function takes an input key and maps it to a fixed-size index (hash value) within the hash table’s array. Ideally, the function distributes keys evenly across the array to minimize collisions. Common hash functions include modulo division, bitwise operations, and polynomial hashing."
What is a collision?,A collision occurs when two different keys hash to the same value.
Describe different collision resolution techniques.,"Open addressing: Use probing techniques (linear, quadratic, double hashing) to find the next available slot when a collision occurs.
Separate chaining: Store key-value pairs in linked lists at each index, leading to better performance for larger data sets."
How are collisions handled in a hash data structure?,"Collisions can be handled using various techniques, such as chaining, open addressing, and cuckoo hashing."
What is chaining?,Chaining is a collision resolution technique where colliding keys are stored in a linked list at the same hash value.
What is open addressing?,"Open addressing is a collision resolution technique where colliding keys are stored in the same hash table, but at different locations."
What is separate chaining?," Separate chaining is a collision resolution technique used in hash tables. When two or more keys hash to the same index in the hash table, instead of overwriting the existing data, separate chaining stores each key-value pair in a linked list at that index. This allows for efficient retrieval of all elements that hash to the same index, even if there are collisions."
What are the trade-offs between open addressing and separate chaining?,"Open addressing: Less memory overhead, but search performance degrades with collisions.
Separate chaining: More memory usage, but faster search performance even with collisions."
What is cuckoo hashing?,Cuckoo hashing is a collision resolution technique that uses two hash functions to store keys in a hash table.
What is the load factor of a hash table?,The load factor of a hash table is the ratio of the number of keys stored in the table to the size of the table.
What is the optimal load factor for a hash table?,"The optimal load factor for a hash table depends on the collision resolution technique used, but it is typically around 0.7."
Explain the concept of load factor and its impact on performance.,Load factor (number of elements / size of hash table) measures how full the table is. Higher load factors increase collision frequency and impact performance. Optimal values vary based on implementation and trade-offs.
What are the advantages of using a hash data structure?,"Hash data structures offer fast lookup, insertion, and deletion operations. They are also space-efficient and can handle large datasets."
What are the disadvantages of using a hash data structure?,"Hash data structures can suffer from collisions, which can slow down lookup operations. They also require a hash function that is both efficient and effective."
Explain bloom filters and their applications.,"Bloom filters use multiple hash functions to probabilistically represent set membership, offering efficient space-time trade-offs for membership queries but not supporting direct value retrieval. Used in caching, network security, and other applications."
What is a Tree?,"A tree is a non-linear data structure consisting of nodes connected by edges. Each node contains data and references to its child nodes. It has one special node called the root, with no parent, and leaf nodes with no children."
Explain different types of trees.,"Binary Tree: Each node has at most two children (left and right).
Full Binary Tree: Every node except leaves has two children.
Complete Binary Tree: All levels are filled except possibly the last, and nodes are filled left to right.
Perfect Binary Tree: Every node has two children, and all leaves are at the same level.
AVL Tree: Self-balancing binary search tree with a height difference of at most 1 between subtrees.
Red-Black Tree: Self-balancing binary search tree with specific coloring rules to maintain balance.
B-Tree: Generalization of a binary search tree with more than two children per node."
What are the basic operations performed on a tree?,"Insertion: Add a new node to the tree while maintaining its properties (e.g., ordering in search trees).
Deletion: Remove a node from the tree while preserving its structure.
Traversal: Visit each node in the tree exactly once in a specific order (preorder, inorder, postorder).
Searching: Find a specific node with a given value based on search criteria."
What are the different ways to represent a tree in memory?,"Node-based representation: Each node stores its data and references to child nodes.
Array-based representation: Use an array to store node data with calculations to find child nodes based on their positions."
What are the advantages and disadvantages of using trees?,"Advantages:
Efficient for hierarchical data representation and organization.
Fast searching and traversal in balanced trees.
Disadvantages:
Memory overhead due to storing pointers or references.
Not efficient for storing large amounts of unstructured data."
When would you choose a tree over other data structures like arrays or linked lists?,"Trees are ideal for hierarchical data, maintaining relationships between elements, and efficient searching based on order. Arrays or linked lists are better for simple linear data or frequent insertions/deletions at specific positions."
Explain the concept of a binary search tree.,"A binary search tree has a specific ordering property: the data in the left subtree is less than the root, and the data in the right subtree is greater than the root. This allows for efficient searching by comparing values with the root and navigating left or right accordingly."
How do self-balancing trees like AVL or Red-Black trees work?,"These trees automatically adjust their structure after insertions or deletions to maintain a balanced height, ensuring efficient search and insertion/deletion operations. They achieve this through specific rules and rotations based on node heights and colors."
"Describe the different tree traversal methods (preorder, inorder, postorder).","Preorder: Visit root, then left subtree, then right subtree.
Inorder: Visit left subtree, then root, then right subtree.
Postorder: Visit left subtree, then right subtree, then root.
Each traversal method has different purposes. Inorder is useful for printing sorted elements in a binary search tree, while preorder might be used for copying tree structure."
How can you convert a binary search tree into a sorted array?,"One efficient way is to use an inorder traversal of the tree. Since the tree is sorted, visiting nodes in this order will result in a sorted array."
Explain the concept of a minimum spanning tree.,"A minimum spanning tree is a subgraph of a connected, undirected graph that includes all vertices but with the minimum total edge weight, connecting all nodes without cycles. It has applications in network routing and clustering algorithms."
Describe the use of trees in real-world scenarios.,"Trees are used in various domains, including:
File systems (directory structure)
XML or JSON data representation
Decision trees for machine learning
Game AI (representing game states and possible actions)
Social networks (representing user relationships"
What is a graph?,"A graph is a data structure consisting of a set of vertices (nodes) and a set of edges that connect pairs of vertices. Graphs are used to represent relationships between objects, such as social networks, road networks, and computer networks."
Explain common graph representations.,"Adjacency matrix: A 2D array where rows and columns represent nodes, and values indicate the existence of an edge between them. Efficient for space usage, but can be slow for sparse graphs.
Adjacency list: An array of linked lists or other data structures, where each list stores nodes connected to a specific node. Efficient for sparse graphs and adjacency queries, but may require more space."
Differentiate between directed and undirected graphs.,"Directed graphs: Edges have a direction, signifying one-way relationships.
Undirected graphs: Edges have no direction, representing bidirectional relationships."
Describe common graph types.,"Simple graphs: Undirected, no loops or multiple edges between nodes.
Complete graphs: Every node is connected to every other node.
Trees: No cycles, a single root node connects to child nodes that don’t form cycles.
Bipartite graphs: Can be divided into two disjoint sets where only nodes in different sets connect."
Discuss time and space complexity of basic graph operations.,"Traversal (DFS, BFS): O(V + E) for both time and space, where V is the number of nodes and E is the number of edges.
Insertion: O(1) for constant-time operations in both adjacency list and matrix, although insertion into sparse matrices requiring reallocation might have amortized cost.
Deletion: O(degree of the node) for adjacency lists, O(V^2) for adjacency matrices due to potential row/column shifts."
Explain Dijkstra’s algorithm and its applications.,"This algorithm finds the shortest path between two nodes in a weighted graph. It is used in route planning, network optimization, and other problems involving finding minimum-cost paths."
"Compare DFS and BFS algorithms: strengths, weaknesses, and use cases.","DFS: Explores deeply before exploring breadth-wise, efficient for finding connected components, good for detecting cycles.
BFS: Explores breadth-wise, efficient for finding shortest paths in unweighted graphs, useful for level-order traversals."
Describe topological sorting: algorithm and applications.,"Topological sorting: Orders nodes such that edges always point from earlier nodes to later ones, required for tasks with dependencies.
Application: Used in job scheduling, software dependency management, and circuit design."
Explain minimum spanning trees: algorithms and their significance.,"Minimum spanning trees: Finds a subset of edges that connects all nodes with minimum total weight while avoiding cycles.
Significance: Used in network communication, clustering."
Give implementation of Kadane's algorithm ,"import java.io.*;
import java.util.*;
 
class Kadane {
    // Driver Code
    public static void main(String[] args)
    {
        int[] a = { -2, -3, 4, -1, -2, 1, 5, -3 };
        System.out.println(""Maximum contiguous sum is ""
                           + maxSubArraySum(a));
    }
 
    // Function Call
    static int maxSubArraySum(int a[])
    {
        int size = a.length;
        int max_so_far = Integer.MIN_VALUE, max_ending_here
                                            = 0;
 
        for (int i = 0; i < size; i++) {
            max_ending_here = max_ending_here + a[i];
            if (max_so_far < max_ending_here)
                max_so_far = max_ending_here;
            if (max_ending_here < 0)
                max_ending_here = 0;
        }
        return max_so_far;
    }
}"
"Given a matrix, your task is to rotate the matrix 90 degrees clockwise.","Code in Java:
import java.util.*;
class Main {
    static void rotate(int[][] matrix) {
        for (int i = 0; i < matrix.length; i++) {
            for (int j = i; j < matrix[0].length; j++) {
                int temp = 0;
                temp = matrix[i][j];
                matrix[i][j] = matrix[j][i];
                matrix[j][i] = temp;
            }
        }
        for (int i = 0; i < matrix.length; i++) {
            for (int j = 0; j < matrix.length / 2; j++) {
                int temp = 0;
                temp = matrix[i][j];
                matrix[i][j] = matrix[i][matrix.length - 1 - j];
                matrix[i][matrix.length - 1 - j] = temp;
            }
        }
    }

    public static void main(String args[]) {
        int arr[][] =  {{1, 2, 3}, {4, 5, 6}, {7, 8, 9}};
        rotate(arr);
        System.out.println(""Rotated Image"");
        for (int i = 0; i < arr.length; i++) {
            for (int j = 0; j < arr.length; j++) {
                System.out.print(arr[i][j] + "" "");
            }
            System.out.println();
        }

    }
}

Complexity Analysis
Time Complexity: O(N*N) + O(N*N).One O(N*N) is for transposing the matrix and the other is for reversing the matrix.

Space Complexity: O(1)."
"Given an array of intervals, merge all the overlapping intervals and return an array of non-overlapping intervals.","Code in Java: 
import java.util.*;

public class Main {

    public static List<List<Integer>> mergeOverlappingIntervals(int[][] arr) {
        int n = arr.length; // size of the array
        //sort the given intervals:
        Arrays.sort(arr, new Comparator<int[]>() {
            public int compare(int[] a, int[] b) {
                return a[0] - b[0];
            }
        });

        List<List<Integer>> ans = new ArrayList<>();

        for (int i = 0; i < n; i++) {
            // if the current interval does not
            // lie in the last interval:
            if (ans.isEmpty() || arr[i][0] > ans.get(ans.size() - 1).get(1)) {
                ans.add(Arrays.asList(arr[i][0], arr[i][1]));
            }
            // if the current interval
            // lies in the last interval:
            else {
                ans.get(ans.size() - 1).set(1,
                                            Math.max(ans.get(ans.size() - 1).get(1), arr[i][1]));
            }
        }
        return ans;
    }

    public static void main(String[] args) {
        int[][] arr = {{1, 3}, {8, 10}, {2, 6}, {15, 18}};
        List<List<Integer>> ans = mergeOverlappingIntervals(arr);
        System.out.print(""The merged intervals are: \n"");
        for (List<Integer> it : ans) {
            System.out.print(""["" + it.get(0) + "", "" + it.get(1) + ""] "");
        }
        System.out.println();
    }
}
Time Complexity: O(N*logN) + O(N), where N = the size of the given array.
Reason: Sorting the given array takes  O(N*logN) time complexity. Now, after that, we are just using a single loop that runs for N times. So, the time complexity will be O(N).

Space Complexity: O(N), as we are using an answer list to store the merged intervals. Except for the answer array, we are not using any extra space.
"
"Merge two Sorted Arrays Without Extra Space
Given two sorted arrays arr1[] and arr2[] of sizes n and m in non-decreasing order. Merge them in sorted order. Modify arr1 so that it contains the first N elements and modify arr2 so that it contains the last M elements.","Code in Java:

import java.util.*;

public class Main {

    public static void merge(long[] arr1, long[] arr2, int n, int m) {

        // Declare 2 pointers:
        int left = n - 1;
        int right = 0;

        // Swap the elements until arr1[left] is
        // smaller than arr2[right]:
        while (left >= 0 && right < m) {
            if (arr1[left] > arr2[right]) {
                long temp = arr1[left];
                arr1[left] = arr2[right];
                arr2[right] = temp;
                left--;
                right++;
            } else {
                break;
            }
        }

        // Sort arr1[] and arr2[] individually:
        Arrays.sort(arr1);
        Arrays.sort(arr2);
    }

    public static void main(String[] args) {
        long[] arr1 = {1, 4, 8, 10};
        long[] arr2 = {2, 3, 9};
        int n = 4, m = 3;
        merge(arr1, arr2, n, m);
        System.out.println(""The merged arrays are:"");
        System.out.print(""arr1[] = "");
        for (int i = 0; i < n; i++) {
            System.out.print(arr1[i] + "" "");
        }
        System.out.print(""\narr2[] = "");
        for (int i = 0; i < m; i++) {
            System.out.print(arr2[i] + "" "");
        }
        System.out.println();
    }

}
Time Complexity: O(min(n, m)) + O(n*logn) + O(m*logm), where n and m are the sizes of the given arrays.
Reason: O(min(n, m)) is for swapping the array elements. And O(n*logn) and O(m*logm) are for sorting the two arrays.

Space Complexity: O(1) as we are not using any extra space.
"
"Find the duplicate in an array of N+1 integers


Given an array of N + 1 size, where each element is between 1 and N. Assuming there is only one duplicate number, your task is to find the duplicate number.","Code in Java:import java.util.*;
class Main {
    public static int findDuplicate(int[] nums) {
        int slow = nums[0];
        int fast = nums[0];
        do {
            slow = nums[slow];
            fast = nums[nums[fast]];
        } while (slow != fast);

        fast = nums[0];
        while (slow != fast) {
            slow = nums[slow];
            fast = nums[fast];
        }
        return slow;
    }
    public static void main(String args[]) {
        int arr[] = {1,3,4,2,3};
        System.out.println(""The duplicate element is "" + findDuplicate(arr));
    }
}Time complexity: O(N). Since we traversed through the array only once.

Space complexity: O(1).

"
"Find the repeating and missing numbers

 You are given a read-only array of N integers with values also in the range [1, N] both inclusive. Each integer appears exactly once except A which appears twice and B which is missing. The task is to find the repeating and missing numbers A and B where A repeats twice and B is missing.give code","Code in Java:


import java.util.*;

public class Main {

    public static int[] findMissingRepeatingNumbers(int[] a) {
        int n = a.length; // size of the array
        int xr = 0;

        //Step 1: Find XOR of all elements:
        for (int i = 0; i < n; i++) {
            xr = xr ^ a[i];
            xr = xr ^ (i + 1);
        }

        //Step 2: Find the differentiating bit number:
        int number = (xr & ~(xr - 1));

        //Step 3: Group the numbers:
        int zero = 0;
        int one = 0;
        for (int i = 0; i < n; i++) {
            //part of 1 group:
            if ((a[i] & number) != 0) {
                one = one ^ a[i];
            }
            //part of 0 group:
            else {
                zero = zero ^ a[i];
            }
        }

        for (int i = 1; i <= n; i++) {
            //part of 1 group:
            if ((i & number) != 0) {
                one = one ^ i;
            }
            //part of 0 group:
            else {
                zero = zero ^ i;
            }
        }

        // Last step: Identify the numbers:
        int cnt = 0;
        for (int i = 0; i < n; i++) {
            if (a[i] == zero) cnt++;
        }

        if (cnt == 2) return new int[] {zero, one};
        return new int[] {one, zero};
    }


    public static void main(String[] args) {
        int[] a = {3, 1, 2, 5, 4, 6, 7, 5};
        int[] ans = findMissingRepeatingNumbers(a);
        System.out.println(""The repeating and missing numbers are: {""
                           + ans[0] + "", "" + ans[1] + ""}"");
    }
}

Time Complexity: O(N), where N = the size of the given array.
Reason: We are just using some loops running for N times. So, the time complexity will be approximately O(N).

Space Complexity: O(1) as we are not using any extra space to solve this problem"
"Count inversions in an array. Given an array of N integers, count the inversion of the array (using merge-sort).","Code in java:
import java.util.*;

public class Main {

    private static int merge(int[] arr, int low, int mid, int high) {
        ArrayList<Integer> temp = new ArrayList<>(); // temporary array
        int left = low;      // starting index of left half of arr
        int right = mid + 1;   // starting index of right half of arr

        //Modification 1: cnt variable to count the pairs:
        int cnt = 0;

        //storing elements in the temporary array in a sorted manner//

        while (left <= mid && right <= high) {
            if (arr[left] <= arr[right]) {
                temp.add(arr[left]);
                left++;
            } else {
                temp.add(arr[right]);
                cnt += (mid - left + 1); //Modification 2
                right++;
            }
        }

        // if elements on the left half are still left //

        while (left <= mid) {
            temp.add(arr[left]);
            left++;
        }

        //  if elements on the right half are still left //
        while (right <= high) {
            temp.add(arr[right]);
            right++;
        }

        // transfering all elements from temporary to arr //
        for (int i = low; i <= high; i++) {
            arr[i] = temp.get(i - low);
        }
        return cnt; // Modification 3
    }

    public static int mergeSort(int[] arr, int low, int high) {
        int cnt = 0;
        if (low >= high) return cnt;
        int mid = (low + high) / 2 ;
        cnt += mergeSort(arr, low, mid);  // left half
        cnt += mergeSort(arr, mid + 1, high); // right half
        cnt += merge(arr, low, mid, high);  // merging sorted halves
        return cnt;
    }

    public static int numberOfInversions(int[] a, int n) {
        // Count the number of pairs:
        return mergeSort(a, 0, n - 1);
    }


    public static void main(String[] args) {
        int[] a = {5, 4, 3, 2, 1};
        int n = 5;
        int cnt = numberOfInversions(a, n);
        System.out.println(""The number of inversions are: "" + cnt);
    }
}

Time Complexity: O(N*logN), where N = size of the given array.
Reason: We are not changing the merge sort algorithm except by adding a variable to it. So, the time complexity is as same as the merge sort.

Space Complexity: O(N), as in the merge sort We use a temporary array to store elements in sorted order."
code for two sum problem,"Code in Java:import java.util.*;

public class Main {
    public static String twoSum(int n, int []arr, int target) {
        Arrays.sort(arr);
        int left = 0, right = n - 1;
        while (left < right) {
            int sum = arr[left] + arr[right];
            if (sum == target) {
                return ""YES"";
            } else if (sum < target) left++;
            else right--;
        }
        return ""NO"";
    }

    public static void main(String args[]) {
        int n = 5;
        int[] arr = {2, 6, 5, 8, 11};
        int target = 14;
        String ans = twoSum(n, arr, target);
        System.out.println(""This is the answer for variant 1: "" + ans);

    }}Time Complexity: O(N) + O(N*logN), where N = size of the array.
Reason: The loop will run at most N times. And sorting the array will take N*logN time complexity.

Space Complexity: O(1) as we are not using any extra space."
4 Sum | Find Quads that add up to a target value,"Code in Java:


import java.util.*;

public class Main {
    public static List<List<Integer>> fourSum(int[] nums, int target) {
        int n = nums.length; // size of the array
        List<List<Integer>> ans = new ArrayList<>();

        // sort the given array:
        Arrays.sort(nums);

        // calculating the quadruplets:
        for (int i = 0; i < n; i++) {
            // avoid the duplicates while moving i:
            if (i > 0 && nums[i] == nums[i - 1]) continue;
            for (int j = i + 1; j < n; j++) {
                // avoid the duplicates while moving j:
                if (j > i + 1 && nums[j] == nums[j - 1]) continue;

                // 2 pointers:
                int k = j + 1;
                int l = n - 1;
                while (k < l) {
                    long sum = nums[i];
                    sum += nums[j];
                    sum += nums[k];
                    sum += nums[l];
                    if (sum == target) {
                        List<Integer> temp = new ArrayList<>();
                        temp.add(nums[i]);
                        temp.add(nums[j]);
                        temp.add(nums[k]);
                        temp.add(nums[l]);
                        ans.add(temp);
                        k++;
                        l--;

                        // skip the duplicates:
                        while (k < l && nums[k] == nums[k - 1]) k++;
                        while (k < l && nums[l] == nums[l + 1]) l--;
                    } else if (sum < target) k++;
                    else l--;
                }
            }
        }

        return ans;
    }

    public static void main(String[] args) {
        int[] nums = {4, 3, 3, 4, 4, 2, 1, 2, 1, 1};
        int target = 9;
        List<List<Integer>> ans = fourSum(nums, target);
        System.out.println(""The quadruplets are: "");
        for (List<Integer> it : ans) {
            System.out.print(""["");
            for (int ele : it) {
                System.out.print(ele + "" "");
            }
            System.out.print(""] "");
        }
        System.out.println();
    }
}

Time Complexity: O(N3), where N = size of the array.
Reason: Each of the pointers i and j, is running for approximately N times. And both the pointers k and l combined can run for approximately N times including the operation of skipping duplicates. So the total time complexity will be O(N3). 

Space Complexity: O(no. of quadruplets), This space is only used to store the answer. We are not using any extra space to solve this problem. So, from that perspective, space complexity can be written as O(1).

"
Longest Consecutive Sequence in an Array,"Code in Java:


import java.util.*;

public class Main {
    public static int longestSuccessiveElements(int[] a) {
        int n = a.length;
        if (n == 0)
            return 0;

        int longest = 1;
        Set<Integer> set = new HashSet<>();

        // put all the array elements into set
        for (int i = 0; i < n; i++) {
            set.add(a[i]);
        }

        // Find the longest sequence
        for (int it : set) {
            // if 'it' is a starting number
            if (!set.contains(it - 1)) {
                // find consecutive numbers
                int cnt = 1;
                int x = it;
                while (set.contains(x + 1)) {
                    x = x + 1;
                    cnt = cnt + 1;
                }
                longest = Math.max(longest, cnt);
            }
        }
        return longest;
    }

    public static void main(String[] args) {
        int[] a = {100, 200, 1, 2, 3, 4};
        int ans = longestSuccessiveElements(a);
        System.out.println(""The longest consecutive sequence is "" + ans);
    }
}

Time Complexity: O(N) + O(2*N) ~ O(3*N), where N = size of the array.
Reason: O(N) for putting all the elements into the set data structure. After that for every starting element, we are finding the consecutive elements. Though we are using nested loops, the set will be traversed at most twice in the worst case. So, the time complexity is O(2*N) instead of O(N2).

Space Complexity: O(N), as we are using the set data structure to solve this problem.
"
Length of the longest subarray with zero Sum,"Code in Java:


int maxLen(int A[], int n)
    {
        // Your code here
        HashMap<Integer, Integer> mpp = new HashMap<Integer, Integer>();

        int maxi = 0;
        int sum = 0; 

        for(int i = 0;i<n;i++) {

            sum += A[i]; 

            if(sum == 0) {
                maxi = i + 1; 
            }
            else {
                if(mpp.get(sum) != null) {

                    maxi = Math.max(maxi, i - mpp.get(sum)); 
                }
                else {

                    mpp.put(sum, i); 
                }
            }
        }
        return maxi; 
    }

Time Complexity: O(N), as we are traversing the array only once

Space Complexity: O(N), in the worst case we would insert all array elements prefix sum into our hashmap"
